,Regiao,Sigla_Estado,produto,Area,Quantidade_de_contrato,Valor_concedido(em reais)
0,SUL,RS,CANA-DE-AÇUCAR,"460,89",74.0,"1.128.632,64"
1,SUL,PR,CANA-DE-AÇUCAR,"18.234,22",283.0,"59.136.037,71"
2,SUL,SC,CANA-DE-AÇUCAR,"59,40",11.0,"161.022,50"
3,CENTRO-OESTE,MT,CANA-DE-AÇUCAR,"15.431,22",54.0,"53.056.036,34"
4,CENTRO-OESTE,GO,CANA-DE-AÇUCAR,"78.771,99",358.0,"243.564.666,76"
5,CENTRO-OESTE,MS,CANA-DE-AÇUCAR,"42.684,54",103.0,"137.359.505,19"
6,SUDESTE,MG,CANA-DE-AÇUCAR,"113.552,11",883.0,"363.617.839,96"
7,SUDESTE,SP,CANA-DE-AÇUCAR,"771.458,53",6.828,"2.077.708.400,90"
8,SUDESTE,ES,CANA-DE-AÇUCAR,"1.505,26",21.0,"4.265.237,78"
9,SUDESTE,RJ,CANA-DE-AÇUCAR,"664,19",12.0,"1.455.793,08"
10,NORDESTE,BA,CANA-DE-AÇUCAR,"9.028,73",18.0,"38.935.667,86"
11,NORDESTE,PI,CANA-DE-AÇUCAR,"1.049,88",6.0,"3.073.474,20"
12,NORDESTE,SE,CANA-DE-AÇUCAR,"670,94",6.0,"1.999.027,82"
13,NORDESTE,PE,CANA-DE-AÇUCAR,"27.130,18",236.0,"74.439.268,77"
14,NORDESTE,AL,CANA-DE-AÇUCAR,"20.310,99",325.0,"63.663.695,58"
15,NORDESTE,PB,CANA-DE-AÇUCAR,"12.273,56",131.0,"36.006.836,11"
16,NORDESTE,RN,CANA-DE-AÇUCAR,"342,01",10.0,"1.336.158,69"
17,NORDESTE,CE,CANA-DE-AÇUCAR,"55,13",11.0,"173.051,35"
18,NORTE,RO,CANA-DE-AÇUCAR,"6,00",1.0,"17.574,00"
