,Data Medicao,PRECIPITACAO TOTAL MENSAL(mm),TEMPERATURA MEDIA MENSAL(°C),Nome
0,2018-01-31,"149,4","21,944494",BRASILIA
1,2018-02-28,265,"21,498363",BRASILIA
2,2018-03-31,"226,6","22,004704",BRASILIA
3,2018-04-30,"216,8","20,514583",BRASILIA
4,2018-05-31,"9,6","19,658894",BRASILIA
5,2018-06-30,0,"19,433889",BRASILIA
6,2018-07-31,0,"19,338307",BRASILIA
7,2018-08-31,23,"21,614113",BRASILIA
8,2018-09-30,"39,6","23,337083",BRASILIA
9,2018-10-31,"263,6","23,107258",BRASILIA
10,2018-11-30,"308,6","20,889167",BRASILIA
11,2018-12-31,"166,4","21,693548",BRASILIA
12,2019-01-31,"77,6","22,92379",BRASILIA
13,2019-02-28,149,"22,268304",BRASILIA
14,2019-03-31,"267,6","21,670968",BRASILIA
15,2019-04-30,"319,4","21,565417",BRASILIA
16,2019-05-31,"68,4","21,152688",BRASILIA
17,2019-06-30,8,"19,420694",BRASILIA
18,2019-07-31,0,"18,931048",BRASILIA
19,2019-08-31,0,"21,449462",BRASILIA
20,2019-09-30,"10,2","24,53747",BRASILIA
21,2019-10-31,"22,8","24,401882",BRASILIA
22,2019-11-30,208,"22,8175",BRASILIA
23,2019-12-31,263,"22,449597",BRASILIA
24,2020-01-31,"319,4","22,21828",BRASILIA
25,2020-02-29,189,"21,753305",BRASILIA
26,2020-03-31,288,"21,611156",BRASILIA
27,2020-04-30,"179,8","21,275278",BRASILIA
28,2020-05-31,"29,2","19,189247",BRASILIA
29,2020-06-30,0,"19,155139",BRASILIA
30,2020-07-31,0,"19,307527",BRASILIA
31,2020-08-31,0,"20,427151",BRASILIA
32,2020-09-30,"29,8","23,556111",BRASILIA
33,2020-10-31,"165,6","23,679167",BRASILIA
34,2020-11-30,"229,6","21,605139",BRASILIA
35,2020-12-31,"154,6","22,443683",BRASILIA
36,2021-01-31,"261,6","22,270565",BRASILIA
37,2021-02-28,"536,2","20,864137",BRASILIA
38,2021-03-31,164,"21,715726",BRASILIA
39,2021-04-30,"121,8","20,719722",BRASILIA
40,2021-05-31,4,"19,939651",BRASILIA
41,2021-06-30,"29,6","19,318333",BRASILIA
42,2021-07-31,0,"18,429435",BRASILIA
43,2021-08-31,"2,8","20,923183",BRASILIA
44,2021-09-30,"12,6","24,853889",BRASILIA
45,2021-10-31,"148,2","23,156317",BRASILIA
46,2021-11-30,"349,8","21,301667",BRASILIA
47,2021-12-31,"387,4","21,190188",BRASILIA
48,2022-01-31,138,"21,455242",BRASILIA
49,2022-02-28,"236,6","21,323363",BRASILIA
50,2022-03-31,"121,6","22,151075",BRASILIA
51,2022-04-30,"23,4","22,333194",BRASILIA
52,2022-05-31,"14,6","19,590457",BRASILIA
53,2022-06-30,0,"19,536528",BRASILIA
54,2022-07-31,0,"19,387097",BRASILIA
55,2022-08-31,0,"21,145968",BRASILIA
56,2022-09-30,"40,4","22,913611",BRASILIA
57,2022-10-31,"21,4","23,671371",BRASILIA
58,2022-11-30,"442,4","20,657083",BRASILIA
59,2022-12-31,"322,6","20,817876",BRASILIA
60,2023-01-31,"191,4","21,034543",BRASILIA
61,2023-02-28,55,"22,745238",BRASILIA
62,2023-03-31,"135,2","21,555914",BRASILIA
63,2023-04-30,"160,6","21,022778",BRASILIA
64,2023-05-31,"28,4","20,027285",BRASILIA
65,2023-06-30,"2,2","19,28319",BRASILIA
66,2023-07-31,0,"19,700538",BRASILIA
67,2018-01-31,"157,6","24,212231",GOIANIA
68,2018-02-28,"242,8","24,106101",GOIANIA
69,2018-03-31,209,"24,522849",GOIANIA
70,2018-04-30,"134,2","23,184583",GOIANIA
71,2018-05-31,"9,4","21,620027",GOIANIA
72,2018-06-30,0,"21,686111",GOIANIA
73,2018-07-31,0,"21,161156",GOIANIA
74,2018-08-31,"18,8","23,869489",GOIANIA
75,2018-09-30,38,"25,298611",GOIANIA
76,2018-10-31,"148,6","25,386828",GOIANIA
77,2018-12-31,185,"24,654839",GOIANIA
78,2019-01-31,64,"25,155242",GOIANIA
79,2019-02-28,"222,4","24,564137",GOIANIA
80,2019-03-31,"135,6","24,433737",GOIANIA
81,2019-04-30,265,"24,125556",GOIANIA
82,2019-05-31,"44,4","23,235081",GOIANIA
83,2019-06-30,0,"21,429493",GOIANIA
84,2019-07-31,",4","20,879704",GOIANIA
85,2019-08-31,0,"23,902285",GOIANIA
86,2019-09-30,"18,8","27,3775",GOIANIA
87,2019-10-31,"76,2","26,752285",GOIANIA
88,2019-11-30,"167,8","25,490833",GOIANIA
89,2019-12-31,"185,8","24,814785",GOIANIA
90,2020-01-31,"343,4","24,669086",GOIANIA
