Data;26800 - Taxa de inadimplência por origem dos recursos e modalidade de crédito - MEI - Recursos direcionados - Financiamento rural - investimento - %
1° Trim.2016;8,9
2° Trim.2016;10,6
3° Trim.2016;11,5
4° Trim.2016;13
1° Trim.2017;10,1
2° Trim.2017;5,3
3° Trim.2017;0
4° Trim.2017;0
1° Trim.2018;0
2° Trim.2018;0
3° Trim.2018;0
4° Trim.2018;0
1° Trim.2020;0
2° Trim.2020;0
3° Trim.2020;0
4° Trim.2020;0
1° Trim.2021;0
2° Trim.2021;0
3° Trim.2021;0
4° Trim.2021;0
1° Trim.2022;0
2° Trim.2022;0
3° Trim.2022;23,4
4° Trim.2022;19,6
Fonte;BCB-Depef
