"data";"valor"
"01/03/2000";"4,79"
"01/04/2000";"4,83"
"01/05/2000";"4,89"
"01/06/2000";"4,72"
"01/07/2000";"4,96"
"01/08/2000";"4,51"
"01/09/2000";"3,87"
"01/10/2000";"3,97"
"01/11/2000";"3,90"
"01/12/2000";"3,93"
"01/01/2001";"4,03"
"01/02/2001";"3,85"
"01/03/2001";"3,72"
"01/04/2001";"3,68"
"01/05/2001";"3,75"
"01/06/2001";"3,58"
"01/07/2001";"3,68"
"01/08/2001";"3,67"
"01/09/2001";"3,64"
"01/10/2001";"3,75"
"01/11/2001";"3,84"
"01/12/2001";"3,94"
"01/01/2002";"4,19"
"01/02/2002";"4,31"
"01/03/2002";"4,34"
"01/04/2002";"4,44"
"01/05/2002";"4,48"
"01/06/2002";"4,31"
"01/07/2002";"4,23"
"01/08/2002";"4,29"
"01/09/2002";"3,98"
"01/10/2002";"3,96"
"01/11/2002";"3,91"
"01/12/2002";"4,08"
"01/01/2003";"4,17"
"01/02/2003";"4,12"
"01/03/2003";"4,24"
"01/04/2003";"4,39"
"01/05/2003";"4,53"
"01/06/2003";"4,44"
"01/07/2003";"4,59"
"01/08/2003";"4,58"
"01/09/2003";"4,51"
"01/10/2003";"4,61"
"01/11/2003";"4,16"
"01/12/2003";"3,83"
"01/01/2004";"3,89"
"01/02/2004";"3,94"
"01/03/2004";"3,82"
"01/04/2004";"3,70"
"01/05/2004";"3,61"
"01/06/2004";"3,49"
"01/07/2004";"3,43"
"01/08/2004";"3,34"
"01/09/2004";"3,26"
"01/10/2004";"3,15"
"01/11/2004";"3,33"
"01/12/2004";"3,32"
"01/01/2005";"3,43"
"01/02/2005";"3,47"
"01/03/2005";"3,56"
"01/04/2005";"3,68"
"01/05/2005";"3,34"
"01/06/2005";"3,30"
"01/07/2005";"3,50"
"01/08/2005";"3,53"
"01/09/2005";"3,60"
"01/10/2005";"3,72"
"01/11/2005";"3,76"
"01/12/2005";"3,61"
"01/01/2006";"3,79"
"01/02/2006";"3,94"
"01/03/2006";"4,04"
"01/04/2006";"4,24"
"01/05/2006";"4,33"
"01/06/2006";"4,11"
"01/07/2006";"4,26"
"01/08/2006";"4,34"
"01/09/2006";"4,25"
"01/10/2006";"4,37"
"01/11/2006";"4,35"
"01/12/2006";"4,16"
"01/01/2007";"4,30"
"01/02/2007";"4,31"
"01/03/2007";"4,20"
"01/04/2007";"4,20"
"01/05/2007";"4,31"
"01/06/2007";"3,97"
"01/07/2007";"4,02"
"01/08/2007";"4,01"
"01/09/2007";"3,79"
"01/10/2007";"3,74"
"01/11/2007";"3,70"
"01/12/2007";"3,53"
"01/01/2008";"3,62"
"01/02/2008";"3,66"
"01/03/2008";"3,33"
"01/04/2008";"3,48"
"01/05/2008";"3,59"
"01/06/2008";"3,32"
"01/07/2008";"3,40"
"01/08/2008";"3,44"
"01/09/2008";"3,27"
"01/10/2008";"3,49"
"01/11/2008";"3,59"
"01/12/2008";"3,77"
"01/01/2009";"3,96"
"01/02/2009";"4,23"
"01/03/2009";"4,50"
"01/04/2009";"4,97"
"01/05/2009";"5,21"
"01/06/2009";"5,31"
"01/07/2009";"5,50"
"01/08/2009";"5,60"
"01/09/2009";"5,74"
"01/10/2009";"5,72"
"01/11/2009";"5,59"
"01/12/2009";"5,41"
"01/01/2010";"5,35"
"01/02/2010";"5,18"
"01/03/2010";"5,02"
"01/04/2010";"4,88"
